2026-02-07 10:02:57 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:02:57 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_100257_869_PACIENTE_FORA.jpg
2026-02-07 10:03:02 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: PACIENTE_FORA -> MONITORANDO
2026-02-07 10:03:21 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:03:21 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_100321_043_PACIENTE_FORA.jpg
2026-02-07 10:03:25 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: PACIENTE_FORA -> MONITORANDO
2026-02-07 10:03:28 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:03:28 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_100328_173_PACIENTE_FORA.jpg
2026-02-07 10:04:12 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: PACIENTE_FORA -> MONITORANDO
2026-02-07 10:04:18 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:04:18 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_100418_118_PACIENTE_FORA.jpg
